Title,Artist,Series,Volume,Online Videos,Labels,Catalog Number,Country,Release Year,Original Release Year,Tracks,Versions,Genres,Styles,Composers,Orchestras,Conductors,Performers,Writers,Production Companies,Producers,Description,Edition,Media,Format,Content Type,Length,Vinyl Size,Vinyl Speed,List Price,Language,Packaging,Number Of Volumes,UPC-EAN13,Favorites,Rating,Physical Location,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Cover Condition,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,discogs Release ID,Category,Wish List,Uploaded Image URL,Activities
无名之辈,汪苏泷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:59:06.693871021,,,,,,,,人生,0,,
悟空,戴荃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:15:48.016271948,,,,,,,,人生,0,,
西安人的歌,程渤智,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:25:42.873816967,,,,,,,,,0,,
下山,要不要买菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/13 00:52:07.570741057,,,,,,,,,0,,
相信自己,零点乐队,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:50:09.799926996,,,,,,,,人生,0,,
向天再借五百年,韩磊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 21:01:50.806746959,,,,,,,,人生,0,,
夜空中最亮的星,逃跑计划,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:34:22.396283984,,,,,,,,人生,0,,
夜之光,花姐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:20:25.076370000,,,,,,,,,0,,
一百万个可能,Christine Welch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:26:28.065826058,,,,,,,,人生,0,,
一条大河,郭兰英,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 23:29:46.560400962,,,,,,,,,0,,
勇敢勇敢,黄勇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:16:04.214272975,,,,,,,,人生,0,,
勇气,梁静茹,,,,,,,2009,,"[{""title"":""1. 勇气"",""duration"":0},{""title"":""2. 如果有一天"",""duration"":0},{""title"":""3. 半个月亮"",""duration"":0},{""title"":""4. 没有水的游泳池"",""duration"":0},{""title"":""5. 最烂的理由"",""duration"":0},{""title"":""6. 爱你不是两三天"",""duration"":0},{""title"":""7. 爱计较"",""duration"":0},{""title"":""8. 昨天"",""duration"":0},{""title"":""9. 多数是晴天"",""duration"":0},{""title"":""10. 最后"",""duration"":0}]",,Pop,,,,,,,,,,,,,专辑,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 04:35:24.005035042,,,,,,,13569421,爱情,0,http://musicugc.cdn.qianqian.com/ugcdiy/pic/ebedc854b5a8be9accb9b9bd54936231.jpg,
用尽我的一切奔向你,周笔畅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:59:40.263767004,,,,,,,,爱情,0,,
有没有人告诉你,钟明秋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:34:45.255367994,,,,,,,,爱情,0,,
在人间,王建房,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:56:44.679543972,,,,,,,,爱情,0,,
只要平凡,"张杰,张碧晨",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:58:51.786986947,,,,,,,,人生,0,,
祝你一路顺风,吴奇隆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:35:19.402035951,,,,,,,,,0,,
追梦赤子心,GALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.000000,,,,,,0,,,,,2020/01/12 20:16:22.222563028,,,,,,,,人生,0,,
